Channel Name,Total Videos,Total Subscribers,Members Count,AI Generated Content (%),Engagement Score,Content Value Index,Channel ID
Caldwell Inc Studios,164,9761164,298925,31,154323.05,16.299999999999997,4182
Valenzuela-Richardson Labs,189,8840457,464960,48,139766.76,20.7,4183
Jensen PLC Network,345,6759370,99628,39,106864.98,20.8,4184
Petty LLC Network,212,5143913,477509,8,81324.76,10.8,4185
Hardy-Choi Network,108,166432,35036,68,2631.27,30.9,4186
Barnett-Hobbs Hub,313,3377784,278960,30,53402.44,21.6,4187
"Blevins, Gonzales and Newton Network",452,729910,389660,31,11539.81,15.599999999999998,4188
Flores and Sons Hub,152,8731443,249124,96,138043.26,40.7,4189
"Harris, Franklin and Edwards Hub",176,5888090,218039,72,93090.13,28.6,4190
Davis-Lewis Hub,447,4582440,3505,9,72447.93,9.7,4191
Brown LLC Network,348,4214678,416974,41,66633.65,15.099999999999998,4192
"Dean, Curtis and Nguyen Hub",247,202057,378851,70,3194.5,29.4,4193
Townsend PLC Network,257,16336,213950,38,258.27,12.8,4194
Jordan-Combs Network,361,2646734,22631,42,41844.61,17.5,4195
Bell-Lee Hub,312,2496365,453829,93,39467.29,34.2,4196
"Thomas, Acevedo and Church Network",472,5691428,4040,86,89980.92,27.2,4197
"Thompson, Ruiz and Gordon Studios",387,187758,335134,59,2968.44,24.7,4198
"Russell, Buchanan and Choi Labs",410,8484509,161868,58,134139.26,27.9,4199
Green Ltd Network,438,4418411,284977,83,69854.65,29.1,4200
Brown Ltd Network,79,8838038,207433,37,139728.52,11.8,4201
Stephens Inc Labs,157,7511621,340066,5,118758.0,14.1,2359
Stephens Inc Labs,157,7511621,340066,5,118758.0,14.1,4202
Oliver Group Network,433,7894885,482913,74,124817.36,31.3,4203
Silva and Sons Hub,204,3857872,313641,92,60992.58,39.5,4204
Olson Group Network,142,2935053,167649,54,46402.9,19.0,4205
Henderson-Lyons Labs,483,196784,308742,44,3111.14,20.9,4206
"Cuevas, Payne and Tucker Network",307,4279969,472328,13,67665.89,6.699999999999999,4207
Rogers-Ferguson Hub,349,718648,242783,62,11361.75,32.599999999999994,4208
Wolfe and Sons Studios,216,7693000,476588,6,121625.58,15.8,4209
Molina Ltd Hub,133,2139858,20976,89,33830.95,36.5,4210
Clay Group Network,161,7513971,492236,52,118795.15,26.1,2834
Clay Group Network,161,7513971,492236,52,118795.15,26.1,4211
Carroll and Sons Studios,467,27236,250143,96,430.6,36.5,4212
"Jones, Palmer and Becker Network",498,6884757,347383,46,108847.34,14.499999999999998,4213
Dudley LLC Network,193,1942462,476913,5,30710.13,9.9,4214
"Santos, Reid and Cruz Studios",250,9137005,331557,83,144455.16,30.5,4215
"Scott, Clark and Webb Network",323,5090962,319560,81,80487.61,34.1,4216
"Lee, Freeman and Cole Network",249,6037899,459578,27,95458.59,17.2,4217
Johnston PLC Network,199,2618069,114723,83,41391.42,35.4,4218
"Cook, Thomas and Young Studios",445,6377848,64302,5,100833.15,4.3,4219
Spencer PLC Network,296,2630299,307016,18,41584.77,19.4,4220
Mills-Robinson Studios,255,1377403,65102,33,21776.61,20.4,4221
Rivas-Hines Network,420,9462230,414676,96,149596.93,38.6,4222
Cruz Group Studios,66,4252999,27416,88,67239.5,33.4,4223
Carter-Rowe Studios,65,4811264,235362,67,76065.61,22.9,4224
Hood Inc Hub,339,6964937,207324,19,110114.97,9.9,4225
Lawson PLC Hub,75,2058439,495870,96,32543.72,35.099999999999994,4226
Peck-Savage Labs,445,9576261,381716,44,151399.75,20.2,4227
Beck-Mahoney Hub,198,1378461,33660,72,21793.33,27.9,4228
Wade Group Labs,260,8210264,309286,6,129803.47,10.9,4229
"Swanson, Finley and Torres Hub",252,3085221,172500,45,48777.04,21.2,4230
Williams LLC Network,203,977793,141644,48,15458.81,28.4,2304
Williams LLC Network,203,977793,141644,48,15458.81,28.4,2491
Williams LLC Network,203,977793,141644,48,15458.81,28.4,4231
"Jones, Stout and Perkins Hub",51,1169119,400642,90,18483.66,38.9,4232
Guerra Inc Labs,472,2075580,185351,67,32814.72,30.6,4233
Valdez-Medina Network,178,8236850,391163,21,130223.79,8.399999999999999,4234
Cruz-Spencer Network,309,7691816,402547,37,121606.86,11.8,4235
Rivera-Huynh Studios,317,1298390,188805,91,20527.42,28.7,4236
Fuller-Brown Hub,118,196031,77696,19,3099.23,13.4,4237
Sloan PLC Network,154,3824264,45245,79,60461.24,27.2,4238
Lewis-Long Studios,304,6370501,62433,44,100717.0,23.0,4239
Gordon Group Studios,465,3885589,252977,62,61430.78,26.3,4240
Rodriguez Inc Hub,488,7017619,241524,52,110947.87,24.0,4241
"Roberts, Williams and Jones Network",179,4379736,303223,86,69243.2,32.1,4242
Ryan-Jimenez Hub,469,5858073,215079,73,92615.56,22.6,4243
Duncan and Sons Hub,452,7731910,145278,3,122240.74,7.199999999999999,4244
"Davis, Williams and Carter Hub",413,9616808,300418,49,152040.8,25.9,4245
Combs Ltd Studios,416,1848809,408789,20,29229.49,10.2,4246
Baldwin-Smith Studios,213,2885831,359384,97,45624.71,37.5,4247
"Fowler, Figueroa and Rivera Network",226,888165,309585,23,14041.8,6.9,4248
Lynch-Rice Labs,160,4615672,238954,22,72973.32,19.9,4249
Smith-Taylor Studios,52,4808118,331949,73,76015.88,33.8,4250
Lawrence LLC Studios,109,6399849,33302,79,101180.99,23.7,4251
"Nelson, Archer and Ortiz Labs",310,2193381,172669,0,34677.14,14.0,4252
Mills-Duncan Hub,300,6404048,228419,11,101247.37,11.7,4253
Lloyd Ltd Network,215,5894565,147533,1,93192.5,11.5,4254
"Landry, Jenkins and Young Network",307,1182041,36480,29,18687.95,10.8,4255
"Roberts, Dawson and Diaz Labs",363,1190884,83204,99,18827.76,29.7,4256
Whitaker-Bowman Studios,312,1043596,302867,13,16499.15,6.0,4257
Singleton LLC Labs,67,8506926,144502,10,134493.67,3.0,4258
Bowers and Sons Studios,372,860205,495046,30,13599.76,13.9,4259
Richardson LLC Labs,405,4825670,178673,25,76293.37,13.8,4260
"Foster, Carpenter and Walker Labs",415,7825607,350709,92,123722.08,37.4,4261
Parker-Brady Studios,491,8103978,17075,77,128123.1,23.1,4262
Fernandez-Jennings Labs,378,9849803,342033,67,155724.42,22.2,4263
Mcneil-Smith Studios,240,6908112,107706,60,109216.58,18.0,4264
Olson-Dixon Studios,143,7423316,211321,8,117361.9,4.5,4265
"Glenn, Cox and Schmidt Labs",494,6910621,390653,21,109256.24,9.1,4266
"Kirby, White and Freeman Network",187,7911243,173264,89,125075.98,37.9,4267
"Wilson, Jones and Lee Studios",420,7972009,287297,81,126036.68,36.9,4268
Hernandez-Wallace Labs,251,5622677,140247,63,88893.97,30.1,4269
Wade-Ballard Hub,54,8446061,309197,51,133531.4,24.4,4270
Harris and Sons Labs,221,6152003,376765,3,97262.57,14.9,4271
"Kim, Arroyo and Ward Studios",436,5159834,261858,50,81576.47,17.8,4272
Rodriguez Group Studios,290,554575,197099,42,8767.78,16.799999999999997,4273
Castillo Group Studios,401,2023964,244949,11,31998.67,11.0,4274
"Holloway, Wagner and Ramirez Hub",431,8796508,1565,65,139071.93,25.8,4275
"Stevens, Anderson and Sanders Studios",267,9015914,397200,99,142540.72,35.3,4276
Kennedy Ltd Hub,158,3136621,242746,80,49589.67,27.5,4277
Stephenson Group Studios,117,1426914,73452,48,22559.37,17.2,4278
"Brown, Church and Davis Studios",345,3826645,211724,82,60498.88,25.3,4279
"Cantu, Walker and Jimenez Hub",276,7363905,6202,89,116422.62,28.8,4280
Contreras PLC Hub,167,1544819,140948,85,24423.44,38.8,4281
Fowler-Contreras Hub,240,3920637,86395,26,61984.89,16.2,4282
Hamilton and Sons Studios,66,6991625,111040,56,110536.91,29.4,4283
"Walsh, Ward and Page Network",337,5290008,66652,68,83634.51,21.1,4284
"Kelley, Garcia and Baker Hub",65,6369741,236787,20,100704.98,20.0,4285
"Weaver, Erickson and Young Hub",260,6072792,4022,92,96010.25,35.3,4286
Rose Group Network,196,5208707,159115,5,82349.15,2.9,4287
Hopkins-Green Studios,385,6352292,154512,56,100429.12,26.6,4288
"Riddle, Graham and Robles Studios",344,5211800,219274,97,82398.05,37.5,4289
"Shepard, Conway and Davis Labs",381,4757563,257539,62,75216.61,19.3,4290
"Gomez, Smith and Sims Studios",372,9658312,245324,54,152696.97,19.0,4291
"Cooper, Velez and Hodge Network",226,1219768,417841,71,19284.41,34.6,4292
"Charles, Campos and Ward Studios",463,4850197,101968,4,76681.14,8.899999999999999,4293
"Walker, Stanton and Hawkins Network",413,2827725,91848,37,44706.06,16.0,4294
Frank Group Hub,337,1098743,144108,23,17371.02,18.1,4295
Roach-Palmer Hub,377,3984064,278846,9,62987.66,4.799999999999999,4296
Wilkinson and Sons Network,459,1337893,51831,89,21151.96,28.1,4297
Collins Ltd Network,381,1335497,184360,50,21114.08,28.3,4298
Cabrera Inc Hub,500,6340828,461620,55,100247.87,18.6,4299
"Chang, Lang and Yates Network",150,6950591,213413,1,109888.17,2.3999999999999995,4300
Campbell-Webster Hub,188,8194878,27985,9,129560.22,13.9,4301
"Jackson, Lopez and Richards Labs",304,1720356,328193,15,27198.66,15.0,4302
Mcdonald-Bell Studios,177,4750436,429827,12,75103.93,9.9,4303
"Silva, Alvarez and Moore Hub",441,6013190,180905,37,95067.95,24.4,4304
Dennis-Burke Network,335,2509106,339420,90,39668.72,36.8,4305
Mcmillan-Calderon Hub,214,4281316,466190,81,67687.19,36.9,4306
"Noble, Smith and Reynolds Network",78,9047046,208446,38,143032.91,14.9,4307
Campbell Group Studios,241,786940,112021,25,12441.44,9.6,4308
Moore-Ryan Network,326,9407746,409935,98,148735.55,30.1,4309
"Herring, Watson and Walker Hub",254,8311037,184625,51,131396.68,20.9,4310
"Hunter, Hawkins and Hart Studios",445,7935716,433952,7,125462.9,2.1,4311
"Thornton, Jones and Zimmerman Hub",261,4568733,1414,78,72231.22,37.4,4312
Watson-Johnson Labs,240,7010960,26936,26,110842.59,13.4,4313
Parker-Ray Network,144,1594398,119398,4,25207.28,12.4,4314
"Williams, Hernandez and Berry Labs",129,5231597,132437,11,82711.04,6.8,4315
"Bird, Lopez and Lee Labs",72,3251238,169114,0,51401.76,12.6,4316
Cooper-Oconnor Labs,442,266348,445501,45,4210.94,27.5,4317
Dyer-Kim Labs,373,3668481,36608,93,57998.33,41.9,4318
"Jackson, Fisher and Osborne Hub",205,2980178,68676,13,47116.32,8.1,4319
Miranda Inc Network,244,1371007,456639,50,21675.49,21.3,4320
Smith Group Network,268,5885788,16642,23,93053.73,18.1,4115
Smith Group Network,268,5885788,16642,23,93053.73,18.1,4321
Smith Group Network,268,5885788,16642,23,93053.73,18.1,4568
Smith Group Network,268,5885788,16642,23,93053.73,18.1,4777
Brandt Group Studios,218,412475,77845,73,6521.19,24.7,4322
"Marshall, Phillips and Moore Network",499,2228621,108751,63,35234.28,23.8,4323
Davidson Inc Labs,70,8580795,336329,38,135661.53,24.7,4324
"Gilbert, Kerr and Davis Network",135,9635736,297868,89,152340.05,39.3,4325
"Ochoa, Turner and Rogers Hub",198,2488374,186163,33,39340.95,14.8,4326
"Curry, Burgess and Stuart Labs",163,4422453,289440,59,69918.55,27.5,4327
Weaver-Ruiz Labs,451,475996,191199,11,7525.45,4.0,4328
Stanton-Brock Labs,233,4737773,30235,16,74903.73,11.8,4329
Howard LLC Labs,131,9715838,231381,21,153606.45,20.3,4330
"Lamb, Quinn and Williams Hub",158,6014428,206564,33,95087.52,18.3,4331
West-Hogan Hub,334,5314789,321255,22,84026.3,18.5,4332
"Patterson, Reed and Flowers Hub",347,5009565,15896,81,79200.73,34.1,4333
"Mclaughlin, Taylor and Sweeney Hub",310,713568,174834,93,11281.44,37.0,4334
"Jacobs, Scott and Weaver Studios",56,1755732,386249,46,27757.95,14.499999999999998,4335
"Ramirez, Yu and Hanson Network",149,5820311,126816,52,92018.55,28.9,4336
Maldonado LLC Studios,295,1052906,285382,58,16646.34,29.3,4337
Martin-Parker Labs,421,6827633,85318,79,107944.21,25.1,4338
"Lee, Clark and Bishop Labs",379,7295198,220502,13,115336.37,10.2,4339
Ferguson Group Network,261,4028810,66084,18,63695.09,15.2,4340
Howard-Patel Hub,231,7830125,30605,29,123793.51,12.9,4341
Banks LLC Hub,103,5511222,382745,24,87131.88,7.899999999999999,4342
Bell-Patel Network,384,1714678,337588,14,27108.89,9.8,4343
"Nelson, Duarte and Davis Network",348,9327463,144156,67,147466.28,29.9,4344
"Johnson, Gonzalez and Kelley Studios",218,8386210,200752,41,132585.16,16.5,4345
"Johnson, Lam and Richardson Labs",55,2499934,265517,80,39523.71,32.4,4346
Jones-Hudson Labs,229,4444641,378498,42,70269.34,21.7,4347
Mclaughlin-Cruz Network,323,8250945,482380,89,130446.64,28.1,4348
Sanchez and Sons Network,326,7555612,484038,33,119453.49,10.6,4349
Wells-Schaefer Network,416,7791232,82640,89,123178.62,39.3,4350
"Hayes, Stafford and Taylor Network",478,3207516,434217,37,50710.52,16.0,4351
Berry-Haynes Hub,258,6083699,327933,50,96182.69,22.7,4352
"Murphy, Wilson and Allison Network",60,60689,243365,43,959.49,21.3,4353
Cummings-Smith Hub,400,5003897,359907,38,79111.12,22.6,4354
Marshall PLC Hub,496,7491752,254557,97,118443.87,37.5,2597
Marshall PLC Hub,496,7491752,254557,97,118443.87,37.5,2688
Marshall PLC Hub,496,7491752,254557,97,118443.87,37.5,4355
Parrish-Smith Network,101,1614368,62571,22,25523.0,14.999999999999998,4356
"Wood, Walker and Silva Hub",182,8052702,389328,65,127312.43,27.2,4357
"Larsen, Herrera and Murray Labs",212,6394730,284653,55,101100.06,24.9,4358
"Campos, Logan and Fitzgerald Labs",196,4274282,290761,5,67575.98,9.2,4359
"Chavez, Kelly and Rodriguez Hub",187,5079861,455323,70,80312.11,30.1,4360
Cunningham Group Studios,159,499399,10445,71,7895.45,29.0,843
Cunningham Group Studios,159,499399,10445,71,7895.45,29.0,4361
Pacheco and Sons Hub,397,9447688,141191,8,149367.03,11.5,4362
Vaughn and Sons Hub,313,2115543,194611,23,33446.53,10.4,4363
"Smith, Davis and Hammond Studios",69,951853,207505,52,15048.7,27.5,4364
"Watson, Fox and Tucker Hub",52,1590356,369216,24,25143.37,10.0,4365
Turner and Sons Network,420,4888379,167407,50,77284.8,26.2,4366
Small-Willis Studios,311,6915640,465728,25,109335.59,13.1,4367
Mccarthy LLC Labs,365,4224513,346379,3,66789.14,12.8,4368
Barrett-Sanchez Network,472,9538940,437596,71,150809.71,30.4,4369
Stevens-Young Studios,322,3413264,113793,58,53963.37,18.1,4370
Thomas Ltd Labs,318,8549747,394545,53,135170.67,27.8,4371
Dunn Ltd Hub,83,959200,316161,63,15164.86,20.3,4372
Warren-Melton Hub,64,9925664,48146,72,156923.78,34.9,4373
"Lee, Lee and Ramos Hub",75,2076754,21353,65,32833.28,30.7,4374
Clay-Charles Studios,303,274736,30574,8,4343.55,12.9,4375
Mccoy PLC Labs,229,1274619,9586,93,20151.6,39.8,4376
"Wood, Cook and Smith Hub",332,8960468,158539,51,141664.12,25.1,4377
Williamson Inc Labs,248,5341159,149460,80,84443.2,25.4,4378
Maxwell-Andrade Labs,394,4912406,57449,9,77664.66,15.3,4379
Huerta-Ramsey Network,123,5289145,329497,2,83620.87,12.499999999999998,4380
Smith Inc Labs,333,9617636,221545,90,152053.89,29.1,1725
Smith Inc Labs,333,9617636,221545,90,152053.89,29.1,3338
Smith Inc Labs,333,9617636,221545,90,152053.89,29.1,3452
Smith Inc Labs,333,9617636,221545,90,152053.89,29.1,4381
Perry PLC Studios,247,6197512,406571,77,97982.06,23.1,4382
Lewis-Bailey Labs,465,1224542,454817,37,19359.89,11.8,4383
Bell-Salazar Studios,268,2152504,179386,54,34030.88,24.6,4384
West Ltd Network,393,8561014,122834,24,135348.8,11.4,4385
Patterson LLC Network,451,6230529,279707,20,98504.06,8.8,166
Patterson LLC Network,451,6230529,279707,20,98504.06,8.8,4386
Thompson-Price Network,306,1405974,202815,91,22228.31,28.7,4387
Moon PLC Labs,106,4429785,423978,9,70034.47,6.199999999999999,4388
Carter-Campbell Studios,484,401355,134962,28,6345.38,19.6,4389
Savage Group Network,492,1588742,131347,29,25117.86,13.599999999999998,4390
Taylor Ltd Hub,148,7334429,233461,72,115956.61,25.8,4391
Richards-Delgado Labs,229,2357869,470822,20,37277.68,7.4,4392
Santiago and Sons Labs,138,6720124,431936,69,106244.5,34.7,4393
Freeman LLC Network,61,3242208,65868,66,51258.99,25.4,4394
"Morris, White and Adams Hub",348,8766892,464075,54,138603.71,27.4,4395
"Gill, Flores and Martinez Hub",248,9390586,35190,92,148464.25,40.2,4396
"Howell, Roberson and Torres Hub",91,4374279,343765,68,69156.92,21.8,4397
"Moore, Roman and Haynes Network",445,3143539,226850,59,49699.04,20.5,4398
Boyd-Ingram Hub,377,3750644,271350,15,59297.32,17.1,4399
Mcknight Ltd Labs,453,8774208,69997,85,138719.37,29.0,4400
"Moore, Bowen and Hill Labs",142,5643792,472671,90,89227.8,41.0,4401
Rodriguez LLC Studios,350,6732609,331735,30,106441.89,16.7,3837
Rodriguez LLC Studios,350,6732609,331735,30,106441.89,16.7,4402
Johnson-Robbins Labs,317,9919596,372135,82,156827.84,30.2,4403
"Hernandez, Jordan and Davenport Studios",410,8469371,176694,57,133899.93,27.6,4404
"Shannon, Vaughn and Cole Studios",444,1584934,444,67,25057.65,27.8,4405
Jones-Compton Studios,321,2978379,151011,89,47087.88,37.2,4406
"Zavala, Glenn and Turner Hub",188,7626750,93167,28,120578.17,12.6,4407
Gregory LLC Labs,413,1898009,93217,69,30007.34,24.2,4408
"Henderson, Chavez and Barton Network",105,8719722,437411,85,137857.95,33.9,4409
Esparza-Thompson Labs,369,2180209,332032,84,34468.89,39.2,4410
Hale-Simmons Network,65,8288352,414191,80,131038.04,30.3,4411
Rios LLC Studios,68,944891,301458,2,14938.63,9.7,4412
Henry LLC Network,370,8703741,60154,87,137605.3,37.3,4413
Miller-Thomas Hub,432,5321441,227500,91,84131.46,39.9,4414
"York, Cohen and Roberts Network",247,5975532,200606,55,94472.58,22.8,4415
Schmitt-Bauer Network,225,7027823,413978,0,111109.2,2.8,4416
Brown-Duncan Studios,427,7390691,462658,29,116846.1,19.2,4417
Sanchez Ltd Network,182,8259289,397622,9,130578.55,8.299999999999999,4418
"Richmond, Mullins and Ray Labs",300,4845624,312893,0,76608.84,9.8,4419
Lewis-Powell Hub,371,975993,417551,60,15430.35,27.8,4420
Frederick LLC Studios,243,6324664,388943,98,99992.32,30.1,1197
Frederick LLC Studios,243,6324664,388943,98,99992.32,30.1,4421
Cox-Hart Hub,499,4384244,310410,43,69314.47,19.2,4422
"James, Strong and Ferrell Labs",370,9556985,135284,58,151095.0,21.6,4423
Robinson-Cooper Labs,254,4824153,220672,99,76269.39,40.9,4424
"Simmons, Rhodes and Wise Studios",457,9565979,4679,68,151237.19,28.8,4425
"Whitaker, Gonzales and Reeves Labs",497,7288160,332186,24,115225.1,19.8,4426
Howell LLC Labs,346,4192605,458666,30,66284.68,12.5,4427
"Manning, Leach and Rowe Studios",282,5780668,252641,47,91391.8,23.2,4428
Bond PLC Network,446,8990493,319173,46,142138.82,26.4,4429
Miller PLC Network,377,4866619,239122,88,76940.77,30.6,4430
Hernandez LLC Studios,278,8421241,269871,28,133139.0,9.8,2870
Hernandez LLC Studios,278,8421241,269871,28,133139.0,9.8,4431
Davis Ltd Labs,472,7077601,356753,99,111896.18,43.7,1264
Davis Ltd Labs,472,7077601,356753,99,111896.18,43.7,4432
Wright-Adams Studios,183,5624979,168849,43,88930.37,21.3,4433
"Gould, Merritt and White Labs",439,7564099,415071,33,119587.67,21.8,4434
"Webb, Robbins and Sanchez Studios",220,6962710,188562,69,110079.77,22.1,4435
Reeves-Rodriguez Network,81,9386956,92240,74,148406.86,27.1,4436
Smith-Roberts Hub,421,1900550,312107,55,30047.51,22.1,4437
Ballard and Sons Labs,427,4140676,92554,76,65463.68,29.8,4438
Briggs Ltd Labs,167,6984421,60268,44,110423.01,16.0,4439
Pearson-Heath Labs,230,2433670,395084,73,38476.09,27.5,4440
Wu Inc Labs,255,3122676,330358,11,49369.2,12.4,4441
Jackson Group Studios,436,8968941,366109,79,141798.08,29.3,2812
Jackson Group Studios,436,8968941,366109,79,141798.08,29.3,4442
"Williams, Anderson and Acosta Hub",397,8598459,290498,12,135940.8,4.3,4443
"Woods, Coleman and Moore Studios",430,2684607,129590,2,42443.37,5.499999999999999,4444
Wright LLC Studios,325,7186949,230386,81,113624.96,32.7,4445
Vargas LLC Hub,179,8170765,334202,43,129179.0,12.9,4446
Williams Inc Labs,214,8006673,134488,67,126584.72,33.4,4447
Gregory-Hall Network,410,3000670,220186,81,47440.3,38.3,4448
Saunders-Gibbs Labs,52,2202092,391830,61,34814.86,22.5,4449
Jenkins-Molina Labs,143,2018543,20883,21,31912.97,7.0,4450
Hawkins-Austin Network,333,5788740,30522,74,91519.41,27.1,4451
"Jordan, Guzman and Parks Labs",225,3682335,143330,91,58217.36,39.9,4452
"Johnston, Moreno and Pratt Labs",215,2129581,376585,40,33668.47,14.1,4453
Norton Inc Studios,83,8133232,444756,99,128585.6,33.9,4454
Spencer-Savage Studios,360,2943809,445347,17,46541.33,10.0,4455
"White, Hall and Fernandez Studios",498,8166938,362672,73,129118.49,24.7,4456
Wood Ltd Network,497,6590870,383191,84,104201.01,30.1,4457
"Jones, Thomas and Morris Labs",301,1899924,314359,32,30037.61,23.6,4458
Kim and Sons Network,91,6867426,96385,24,108573.34,7.199999999999999,4459
Brown LLC Hub,247,7353074,322281,95,116251.38,29.2,4460
"Mayo, Baldwin and Bowen Studios",175,4203454,204155,74,66456.2,34.099999999999994,4461
Rivas LLC Network,77,4172426,488107,32,65965.65,10.3,4462
Scott Inc Hub,380,5799291,172478,90,91686.22,31.9,4463
White PLC Studios,304,7929187,197151,20,125359.67,15.8,4464
Yates Inc Labs,282,1873051,289560,83,29612.75,29.8,4465
"Olson, Carter and Chandler Studios",160,7245935,334366,97,114557.53,29.8,4466
"Hill, Riley and Lopez Network",360,3211434,24963,59,50772.46,27.5,4467
Roberts and Sons Labs,334,574031,422555,19,9075.37,9.9,2623
Roberts and Sons Labs,334,574031,422555,19,9075.37,9.9,4468
"Smith, Barnett and Vargas Network",407,4680839,179219,71,74003.61,23.4,4469
Jacobs PLC Hub,418,2535586,308654,10,40087.37,14.9,4470
"Smith, Adkins and Tran Labs",470,3130948,364530,67,49499.98,25.0,4471
Sherman PLC Hub,454,1937647,315651,61,30634.01,23.9,4472
"Scott, Clark and Livingston Studios",447,672753,246923,33,10636.16,11.3,4473
Simpson-Vargas Network,487,4502990,406002,64,71191.83,22.0,4474
"Farrell, Patterson and Moore Network",479,6085593,190693,12,96212.63,16.2,4475
Sharp Ltd Network,287,1809655,183570,15,28610.47,7.3,4476
"Chapman, Mejia and Turner Network",157,525969,68291,73,8315.52,34.5,4477
Thomas-Taylor Studios,215,9785051,93322,80,154700.7,31.7,4478
Roberts and Sons Network,318,7416734,164452,27,117257.84,12.3,4479
"Vargas, Meyer and Rojas Labs",69,2561719,154823,46,40500.53,20.8,4480
"Crawford, Sutton and Martinez Studios",213,2044869,320478,65,32329.18,26.5,4481
Peterson and Sons Hub,363,5279176,194670,64,83463.26,22.0,4482
Guerra Ltd Labs,332,6501194,218565,24,102783.24,19.8,4483
"Lam, Bryant and Hill Labs",454,1059669,346275,1,16753.26,2.3999999999999995,4484
Paul-Moran Labs,493,1126411,211144,22,17808.45,9.4,4485
Porter-Martinez Studios,189,8431255,134267,66,133297.32,27.5,4486
Gibson PLC Labs,295,4369363,56233,59,69079.2,21.2,4487
Cline PLC Network,86,4885925,260215,70,77246.0,29.4,4488
Henry PLC Network,441,1006325,190791,21,15909.9,13.3,1731
Henry PLC Network,441,1006325,190791,21,15909.9,13.3,4489
"Johnson, Clark and Hanson Studios",431,899163,351897,78,14215.68,24.1,4490
Taylor and Sons Labs,127,5949660,23208,55,94063.54,27.7,4491
"Humphrey, Smith and Waters Studios",278,2740174,55750,92,43321.88,29.0,4492
Cruz LLC Labs,298,6014509,465364,36,95088.8,21.3,584
Cruz LLC Labs,298,6014509,465364,36,95088.8,21.3,4493
Williams-Russo Network,492,95170,120926,33,1504.63,19.7,4494
"Rodriguez, Ramos and Andrews Labs",188,1733861,389532,76,27412.17,33.3,4495
Clark LLC Labs,128,8749198,316383,46,138323.97,26.4,1784
Clark LLC Labs,128,8749198,316383,46,138323.97,26.4,4496
Jackson Ltd Network,433,5054468,175654,25,79910.65,8.2,1779
Jackson Ltd Network,433,5054468,175654,25,79910.65,8.2,4497
Abbott and Sons Network,316,4058110,225138,71,64158.32,29.7,4498
Fox-Lawrence Hub,306,2883116,236516,76,45581.78,36.1,4499
Cruz-Anderson Hub,323,4961256,409513,15,78436.97,7.3,4500
"Robinson, Weiss and Luna Studios",163,9147182,40264,20,144616.06,12.3,4501
Patel-Sullivan Studios,427,8714290,136359,61,137772.07,20.4,4502
Rodriguez Ltd Studios,463,1262237,385437,11,19955.84,11.7,4503
Sanchez-Lindsey Network,372,7471530,241205,63,118124.16,25.2,4504
Riley-Moore Studios,301,6020860,169942,70,95189.21,25.9,4505
"Beck, Garcia and Smith Studios",269,7225010,405362,85,114226.7,26.9,4506
"Cuevas, Parks and Caldwell Studios",369,8984930,207160,67,142050.87,22.2,4507
Smith-Roy Labs,278,7710218,481072,50,121897.79,22.0,4508
Bailey-Anderson Network,264,679096,190867,74,10736.44,22.2,4509
Stanley Inc Network,279,2533625,416514,87,40056.36,28.2,4510
"Perry, Medina and Gordon Studios",128,5787567,371471,51,91500.87,23.0,4511
"Porter, Gonzalez and Benson Labs",148,3033127,213169,70,47953.44,24.5,4512
Watkins and Sons Studios,227,978578,108860,66,15471.22,33.8,4513
Weeks-Hays Hub,494,4059770,93571,2,64184.57,0.6,4514
"Jacobson, Nguyen and Proctor Studios",116,6131187,219463,26,96933.47,9.2,4515
Holland-Drake Studios,170,6773374,175599,63,107086.38,21.7,4516
Gray Ltd Studios,468,3183608,270727,100,50332.53,37.0,4517
Estes and Sons Labs,346,7685946,229350,17,121514.06,7.199999999999999,4518
Morales-Sullivan Studios,377,1691852,139073,11,26748.02,13.8,4519
Berry-Davila Network,481,3438900,463867,81,54368.67,32.0,4520
Stone-Jackson Network,214,6824868,149755,39,107900.5,19.4,4521
"Bond, Cole and Leon Network",242,914002,15743,92,14450.28,33.9,4522
White-Lopez Studios,97,6560766,334106,17,103725.07,14.9,756
White-Lopez Studios,97,6560766,334106,17,103725.07,14.9,4523
Davenport LLC Studios,378,7160035,314129,61,113199.45,25.3,4524
Clark LLC Network,66,3646477,152506,56,57650.45,18.2,4525
Griffith PLC Studios,393,9194728,37854,95,145367.75,39.0,4526
"Martin, Johnson and Alvarez Labs",363,8202970,186134,61,129688.16,26.7,4527
Delgado-Sanchez Studios,262,5710021,221085,62,90274.87,30.5,4528
Huerta-Martin Network,199,2321652,245018,88,36705.09,35.5,4529
Miller-Perry Labs,390,5384775,410368,100,85132.77,30.0,4530
"Barrett, Daniel and Robertson Labs",242,4209019,57006,19,66544.18,14.8,4531
"Elliott, Hall and Porter Studios",449,2724480,78585,86,43073.76,30.7,4532
Turner and Sons Hub,241,6871240,176370,75,108633.63,29.5,4533
"Davidson, Floyd and Murray Labs",276,5522572,315918,70,87311.32,26.6,4534
Brown and Sons Network,180,89056,13580,3,1407.97,14.9,4535
Bray-Case Hub,321,4942033,330818,44,78133.06,27.2,4536
Stewart-Cole Hub,88,3745420,487215,21,59214.72,20.3,4537
"Ford, Banks and Beck Studios",51,6457414,19702,81,102091.09,38.3,4538
Gonzalez PLC Studios,135,8681959,22712,13,137260.92,10.9,4539
